Summary Statement of Account Limits for Accounts under Domestic Fund Pool of a Bank,,,,,,,,,,,
,,,,,,,,,,,
Region Code:,1111,,Branch Code:,1001,,2020/1/1,,Currency:,CNY,,Page 1
Account No.:,12345,,Account Name:,Main Bank A,,,,,,Agreement No.:,123123123
,,,,,,,,,,,
Index,Sub Account Name,,Yesterday Available Credit,Yesterday Reserved Credit,Yesterday Frozen Credit,,Total Debit Transactions,Total Debit Amount,,,Today Net Deposit Amount 
,Sub Account No.,,Today Available Credit,Today Reserved Credit,Today Frozen Credit,,Total Credit Transactions,Total Credit Amount,,,
"[7,0]","[7,1]",,"[7,3]","[7,4]","[7,5]",,"[7,7]","[7,8]",,,"[7,11]"
,"[8,1]",,"[8,3]","[8,4]","[8,5]",,"[8,7]","[8,8]",,,
"[9,0]","[9,1]",,"[9,3]","[9,4]","[9,5]",,"[9,7]","[9,8]",,,"[9,11]"
,"[10,1]",,"[10,3]","[10,4]","[10,5]",,"[10,7]","[10,8]",,,
"[11,0]","[11,1]",,"[11,3]","[11,4]","[11,5]",,"[11,7]","[11,8]",,,"[11,11]"
,"[12,1]",,"[12,3]","[12,4]","[12,5]",,"[12,7]","[12,8]",,,
"[13,0]","[13,1]",,"[13,3]","[13,4]","[13,5]",,"[13,7]","[13,8]",,,"[13,11]"
,"[14,1]",,"[14,3]","[14,4]","[14,5]",,"[14,7]","[14,8]",,,
"[15,0]","[15,1]",,"[15,3]","[15,4]","[15,5]",,"[15,7]","[15,8]",,,"[15,11]"
,"[16,1]",,"[16,3]","[16,4]","[16,5]",,"[16,7]","[16,8]",,,
"[17,0]","[17,1]",,"[17,3]","[17,4]","[17,5]",,"[17,7]","[17,8]",,,"[17,11]"
,"[18,1]",,"[18,3]","[18,4]","[18,5]",,"[18,7]","[18,8]",,,
"[19,0]","[19,1]",,"[19,3]","[19,4]","[19,5]",,"[19,7]","[19,8]",,,"[19,11]"
,"[20,1]",,"[20,3]","[20,4]","[20,5]",,"[20,7]","[20,8]",,,
"[21,0]","[21,1]",,"[21,3]","[21,4]","[21,5]",,"[21,7]","[21,8]",,,"[21,11]"
,"[22,1]",,"[22,3]","[22,4]","[22,5]",,"[22,7]","[22,8]",,,
"[23,0]","[23,1]",,"[23,3]","[23,4]","[23,5]",,"[23,7]","[23,8]",,,"[23,11]"
,"[24,1]",,"[24,3]","[24,4]","[24,5]",,"[24,7]","[24,8]",,,
"[25,0]","[25,1]",,"[25,3]","[25,4]","[25,5]",,"[25,7]","[25,8]",,,"[25,11]"
,"[26,1]",,"[26,3]","[26,4]","[26,5]",,"[26,7]","[26,8]",,,
"[27,0]","[27,1]",,"[27,3]","[27,4]","[27,5]",,"[27,7]","[27,8]",,,"[27,11]"
,"[28,1]",,"[28,3]","[28,4]","[28,5]",,"[28,7]","[28,8]",,,
"[29,0]","[29,1]",,"[29,3]","[29,4]","[29,5]",,"[29,7]","[29,8]",,,"[29,11]"
,"[30,1]",,"[30,3]","[30,4]","[30,5]",,"[30,7]","[30,8]",,,
"[31,0]","[31,1]",,"[31,3]","[31,4]","[31,5]",,"[31,7]","[31,8]",,,"[31,11]"
,"[32,1]",,"[32,3]","[32,4]","[32,5]",,"[32,7]","[32,8]",,,
"[33,0]","[33,1]",,"[33,3]","[33,4]","[33,5]",,"[33,7]","[33,8]",,,"[33,11]"
,"[34,1]",,"[34,3]","[34,4]","[34,5]",,"[34,7]","[34,8]",,,
"[35,0]","[35,1]",,"[35,3]","[35,4]","[35,5]",,"[35,7]","[35,8]",,,"[35,11]"
,"[36,1]",,"[36,3]","[36,4]","[36,5]",,"[36,7]","[36,8]",,,
"[37,0]","[37,1]",,"[37,3]","[37,4]","[37,5]",,"[37,7]","[37,8]",,,"[37,11]"
,"[38,1]",,"[38,3]","[38,4]","[38,5]",,"[38,7]","[38,8]",,,
"[39,0]","[39,1]",,"[39,3]","[39,4]","[39,5]",,"[39,7]","[39,8]",,,"[39,11]"
,"[40,1]",,"[40,3]","[40,4]","[40,5]",,"[40,7]","[40,8]",,,
"[41,0]","[41,1]",,"[41,3]","[41,4]","[41,5]",,"[41,7]","[41,8]",,,"[41,11]"
,"[42,1]",,"[42,3]","[42,4]","[42,5]",,"[42,7]","[42,8]",,,
"[43,0]","[43,1]",,"[43,3]","[43,4]","[43,5]",,"[43,7]","[43,8]",,,"[43,11]"
,"[44,1]",,"[44,3]","[44,4]","[44,5]",,"[44,7]","[44,8]",,,
"[45,0]","[45,1]",,"[45,3]","[45,4]","[45,5]",,"[45,7]","[45,8]",,,"[45,11]"
,"[46,1]",,"[46,3]","[46,4]","[46,5]",,"[46,7]","[46,8]",,,
"[47,0]","[47,1]",,"[47,3]","[47,4]","[47,5]",,"[47,7]","[47,8]",,,"[47,11]"
,"[48,1]",,"[48,3]","[48,4]","[48,5]",,"[48,7]","[48,8]",,,
"[49,0]","[49,1]",,"[49,3]","[49,4]","[49,5]",,"[49,7]","[49,8]",,,"[49,11]"
,"[50,1]",,"[50,3]","[50,4]","[50,5]",,"[50,7]","[50,8]",,,
"[51,0]","[51,1]",,"[51,3]","[51,4]","[51,5]",,"[51,7]","[51,8]",,,"[51,11]"
,"[52,1]",,"[52,3]","[52,4]","[52,5]",,"[52,7]","[52,8]",,,
"[53,0]","[53,1]",,"[53,3]","[53,4]","[53,5]",,"[53,7]","[53,8]",,,"[53,11]"
,"[54,1]",,"[54,3]","[54,4]","[54,5]",,"[54,7]","[54,8]",,,
"[55,0]","[55,1]",,"[55,3]","[55,4]","[55,5]",,"[55,7]","[55,8]",,,"[55,11]"
,"[56,1]",,"[56,3]","[56,4]","[56,5]",,"[56,7]","[56,8]",,,
