OnePlus 2,$330,,,,,
Release Date,Aug 2015,,,,,
Dimensions,Height,151.8 mm,Width,74.9 mm,Depth,9.85 mm
Weight,175 g,,,,,
Camera,5,13,,,,
Battery,3300 mAh LiPO,,,,,
,,,,,,
Google Nexus 5X,$379,,,,,
Release Date,Nov 2015,,,,,
Dimensions,Height,147 mm,Width,72.6 mm,Depth,7.9 mm
Weight,136 g,,,,,
Camera,5,12.3,,,,
Battery,2700 mAh LiPO,,,,,
,,,,,,
Motorola X PURE,$400,,,,,
Release Date,Sept 2015,,,,,
Dimensions,Width,76.2 mm,Height,153.9 mm,Depth,6.1 to 11.06 mm
Weight,179 g,,,,,
Camera,5,21,,,,
Battery,3000 mAh,,,,,
,,,,,,
Samsung Galaxy S6,$580,,,,,
Announced Date,2015 Apr,,,,,
Dimensions,H,143.4 mm,W,70.5 mm,D,6.8 mm
Weight,138 g,,,,,
Camera,16,5,,,,
Battery,2550 mAh,,,,,
,,,,,,
Samsung Galaxy Note 5,$720,,,,,
Announced Date,2015 Aug,,,,,
Dimensions,W,76.1 mm,H,153.2 mm,D,7.6 mm
Weight,171 g,,,,,
Camera,16,5,,,,
Battery,3000 mAh LiPO,,,,,
,,,,,,
Apple iPhone 6s,$650,,,,,
Release Date,Sept 2015,,,,,
Dimensions,Height,138.3 mm,Width,67.1 mm,Depth,7.1 mm
Weight,143 g,,,,,
Camera,5,12,,,,
Battery,1715 mAh LiPO,,,,,